ExpCount,TxPowerA,TxPowerB,Mode,TimeDelta,RxCount,TxCount,RssiA,RssiB,PRR,PowerDelta,DateTime,SamePayload,TransPair
0,8,-8,0,-140,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
1,8,-8,0,-120,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
2,8,-8,0,-100,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
3,8,-8,0,-90,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
4,8,-8,0,-80,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
5,8,-8,0,-70,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
6,8,-8,0,-60,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
7,8,-8,0,-50,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
8,8,-8,0,-45,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
9,8,-8,0,-40,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
10,8,-8,0,-35,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
11,8,-8,0,-30,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
12,8,-8,0,-25,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
13,8,-8,0,-20,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
14,8,-8,0,-15,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
15,8,-8,0,-14,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
16,8,-8,0,-13,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
17,8,-8,0,-12,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
18,8,-8,0,-11,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
19,8,-8,0,-10,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
20,8,-8,0,-9,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
21,8,-8,0,-8,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
22,8,-8,0,-7,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
23,8,-8,0,-6,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
24,8,-8,0,-5,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
25,8,-8,0,-4,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
26,8,-8,0,-3,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
27,8,-8,0,-2,20,20,-63.0,-80.0,100.0,-17.0,2019-10-03 15:21:35,1,B
